location_text,count
United States,8125
"New York, NY",2756
"Chicago, IL",1834
"Houston, TX",1762
"Dallas, TX",1383
"Atlanta, GA",1363
"Boston, MA",1176
"Austin, TX",1083
"Charlotte, NC",1075
"Phoenix, AZ",1059
"Washington, DC",985
"Los Angeles, CA",972
"San Francisco, CA",884
New York City Metropolitan Area,837
"Seattle, WA",818
"San Diego, CA",790
"Denver, CO",787
"Philadelphia, PA",711
"Tampa, FL",659
"Miami, FL",643
"San Antonio, TX",642
"Orlando, FL",593
"New York, United States",587
"Indianapolis, IN",574
"Richmond, VA",549
"Las Vegas, NV",529
"Raleigh, NC",514
"San Jose, CA",506
"St Louis, MO",504
"Columbus, OH",503
"Nashville, TN",485
"California, United States",484
"Minneapolis, MN",461
"Pittsburgh, PA",457
"Fort Worth, TX",442
"Plano, TX",438
"Louisville, KY",421
"Jacksonville, FL",412
"Baltimore, MD",396
"Cincinnati, OH",386
"Portland, OR",384
"Irvine, CA",362
"Detroit, MI",358
"New Orleans, LA",352
"Sacramento, CA",343
"Irving, TX",342
"Milwaukee, WI",339
"McLean, VA",338
"Salt Lake City, UT",324
San Francisco Bay Area,318
